num_fesible,num_optimize,,,,,,,,,,,,,,,,,,
407,401,,,,,,,,,,,,,,,,,,
file_name,lb,ub,num_var,num_clause,num_consistency_clause,num_PB_clause,zero_lits,one_lits,two_lits,three_lits,four_lits,five_to_ten,more_than_ten,feasible,make_span,total_encoding_time,total_solving_time,optimized,timeout
data_set/j90.sm/j909_7.sm,102,109,254606,549987,33630,449859,0,1263,369831,178758,0,0,135,FALSE,0,724.05031,0,FALSE,TRUE
data_set/j90.sm/j909_8.sm,109,116,260527,565071,35607,458685,0,1321,375898,187717,0,0,135,FALSE,0,737.23017,0,FALSE,TRUE
data_set/j90.sm/j909_9.sm,107,116,273366,591660,35650,480409,0,1260,398186,192079,0,0,135,FALSE,0,787.91784,0,FALSE,TRUE
data_set/j90.sm/j909_10.sm,102,111,259343,560108,33410,458677,0,1394,372745,185834,0,0,135,FALSE,0,732.33337,0,FALSE,TRUE
data_set/j90.sm/j9010_1.sm,77,77,207345,424704,13322,381948,0,1000,251286,172286,0,16,116,TRUE,77,505.74136,96.38045,TRUE,FALSE
data_set/j90.sm/j9010_2.sm,95,95,284469,594608,24689,519915,0,1327,365730,227416,0,0,135,TRUE,95,763.42921,191.7006,TRUE,FALSE
data_set/j90.sm/j9010_3.sm,112,112,354377,741466,30933,648824,0,1459,454554,285321,0,0,132,TRUE,112,940.34855,104.24638,TRUE,FALSE
data_set/j90.sm/j9010_4.sm,94,94,416358,858892,27820,777203,0,1113,503461,354184,0,0,134,TRUE,94,1085.88177,200.84721,TRUE,FALSE
data_set/j90.sm/j9010_5.sm,78,78,268171,550552,17791,499737,0,822,321586,228010,0,0,134,TRUE,78,650.75606,130.4039,TRUE,FALSE
data_set/j90.sm/j9010_6.sm,92,92,285176,590947,19591,524842,0,1109,356258,233446,0,1,133,TRUE,92,698.80551,95.06766,TRUE,FALSE
data_set/j90.sm/j9010_7.sm,83,83,273537,560526,17148,507000,0,997,331016,228378,0,2,133,TRUE,83,657.90836,100.60129,TRUE,FALSE
data_set/j90.sm/j9010_8.sm,81,81,184982,384465,15489,335968,0,1170,235983,147177,0,1,134,TRUE,81,455.88714,113.1005,TRUE,FALSE
data_set/j90.sm/j9010_9.sm,88,88,269088,557179,20542,496062,0,1205,332327,223513,0,1,133,TRUE,88,658.15836,116.719,TRUE,FALSE
data_set/j90.sm/j9010_10.sm,75,75,192209,396371,13702,352125,0,948,237549,157746,1,2,125,TRUE,75,471.43091,116.64575,TRUE,FALSE
data_set/j90.sm/j9011_1.sm,86,86,355516,731252,21626,661456,0,1324,429624,300169,0,0,135,TRUE,86,929.50792,127.31197,TRUE,FALSE
data_set/j90.sm/j9011_2.sm,99,99,333716,696709,27028,611482,0,1694,421407,273474,0,0,134,TRUE,99,889.99492,149.98708,TRUE,FALSE
data_set/j90.sm/j9011_3.sm,69,69,227539,464047,12870,422922,0,884,269319,193714,1,4,125,TRUE,69,557.21868,112.97445,TRUE,FALSE
data_set/j90.sm/j9011_4.sm,64,64,208779,425799,12517,386756,0,862,249204,175601,0,2,130,TRUE,64,502.74646,78.47367,TRUE,FALSE
data_set/j90.sm/j9011_5.sm,81,81,340482,694713,18389,637282,0,1033,401100,292446,0,0,134,TRUE,81,817.90636,181.89992,TRUE,FALSE
data_set/j90.sm/j9011_6.sm,78,78,282248,578084,17573,525972,0,962,335966,241021,0,0,135,TRUE,78,680.64956,218.80729,TRUE,FALSE
data_set/j90.sm/j9011_7.sm,95,95,347994,713596,21115,646696,0,1112,416316,296034,1,0,133,TRUE,95,843.24711,116.63284,TRUE,FALSE
data_set/j90.sm/j9011_8.sm,82,82,248753,509926,16388,459511,0,1138,301732,206930,0,2,124,TRUE,82,609.03536,162.68412,TRUE,FALSE
data_set/j90.sm/j9011_9.sm,81,81,271592,555987,17286,503060,0,981,326867,228004,3,5,127,TRUE,81,655.5411,186.71883,TRUE,FALSE
data_set/j90.sm/j9011_10.sm,81,81,268602,553236,17453,494662,0,1232,328655,223215,0,0,134,TRUE,81,653.40944,105.38619,TRUE,FALSE
data_set/j90.sm/j9012_1.sm,71,71,376171,761644,16995,708290,0,918,423469,337124,0,0,133,TRUE,71,913.66363,168.2626,TRUE,FALSE
data_set/j90.sm/j9012_2.sm,71,71,389850,786965,16069,735585,0,891,434703,351238,0,2,131,TRUE,71,939.80676,161.2582,TRUE,FALSE
data_set/j90.sm/j9012_3.sm,93,93,443912,902737,22911,835621,0,1228,506785,394589,0,0,135,TRUE,93,1049.89139,199.60868,TRUE,FALSE
data_set/j90.sm/j9012_4.sm,73,73,308095,621521,13942,579849,0,968,343210,277219,1,10,113,TRUE,73,738.47346,183.54072,TRUE,FALSE
data_set/j90.sm/j9012_5.sm,83,83,475196,963112,20919,899993,0,964,531973,430042,0,3,130,TRUE,83,1145.30212,178.55016,TRUE,FALSE
data_set/j90.sm/j9012_6.sm,81,81,445354,902562,19174,841671,0,985,502356,399086,0,0,135,TRUE,81,1077.42252,284.11334,TRUE,FALSE
data_set/j90.sm/j9012_7.sm,77,77,357345,724104,17321,672002,0,1022,403219,319728,0,5,130,TRUE,77,876.33442,208.14585,TRUE,FALSE
data_set/j90.sm/j9012_8.sm,83,83,462919,936860,20165,874656,0,929,521298,414499,0,0,134,TRUE,83,1118.9566,190.74697,TRUE,FALSE
data_set/j90.sm/j9012_9.sm,77,77,343911,694917,16073,646166,0,1055,387451,306279,0,14,118,TRUE,77,851.03698,185.30425,TRUE,FALSE
data_set/j90.sm/j9012_10.sm,86,86,333433,679084,18501,622576,0,1117,384669,293165,0,3,130,TRUE,86,798.93718,168.60444,TRUE,FALSE
data_set/j90.sm/j9013_1.sm,127,138,493695,1044964,43057,901280,0,1751,694018,349060,0,0,135,FALSE,0,1431.29124,0,FALSE,TRUE
data_set/j90.sm/j9013_2.sm,118,127,487509,1024671,42368,901942,0,1330,647406,375800,0,0,135,FALSE,0,1407.47664,0,FALSE,TRUE
data_set/j90.sm/j9013_3.sm,104,108,439368,915027,31800,815639,0,1237,574209,339446,0,0,135,FALSE,0,1154.57285,0,FALSE,TRUE
data_set/j90.sm/j9013_4.sm,108,112,485078,1012989,36075,901664,0,1307,633952,377595,0,0,135,FALSE,0,1258.10333,0,FALSE,TRUE
data_set/j90.sm/j9013_5.sm,108,115,473124,991101,37518,875206,0,1353,623164,366449,0,0,135,FALSE,0,1246.9832,0,FALSE,TRUE
data_set/j90.sm/j9013_6.sm,118,124,467584,984128,40461,858837,0,1410,626793,355790,0,0,135,FALSE,0,1356.93327,0,FALSE,TRUE
data_set/j90.sm/j9013_7.sm,117,124,469511,987172,39300,866979,0,1389,629586,356062,0,0,135,FALSE,0,1262.32786,0,FALSE,TRUE
